iteration,profit
1,7.25
2,-4.86
3,16.96
4,4.52
5,0.99
6,20.31
7,7.60
8,8.66
9,15.66
10,16.47
11,12.27
12,8.89
13,-0.67
14,15.74
15,-26.74
16,5.58
17,10.95
18,-33.90
19,7.62
20,7.65
21,5.30
22,10.97
23,13.59
24,13.92
25,16.09
26,4.97
27,-3.80
28,-9.72
29,12.77
30,0.57
31,11.75
32,11.97
33,-4.87
34,-0.15
35,1.45
36,2.78
37,5.99
38,-43.42
39,20.71
40,19.53
41,14.80
42,15.43
43,16.14
44,20.13
45,-5.68
46,-5.67
47,1.39
48,-6.17
49,14.83
50,-0.77
51,-99.98
52,4.25
53,-1.07
54,-124.40
55,-2.86
56,-113.91
57,-81.37
58,-75.37
59,-57.52
60,0.85
61,0.09
62,2.52
63,0.37
64,0.37
65,0.78
66,0.53
67,-1.25
68,1.93
69,1.34
70,0.41
71,-0.66
72,1.50
73,0.71
74,-0.43
75,1.25
76,0.57
77,1.35
78,0.29
79,1.39
80,0.91
81,-1.73
82,2.98
83,-1.29
84,0.07
85,1.85
86,-0.92
87,1.01
88,0.20
89,1.02
90,3.49
91,-0.27
92,-0.04
93,0.98
94,1.44
95,3.38
96,-0.78
97,-0.32
98,-1.03
99,0.68
100,2.99
101,1.48
102,1.05
103,-0.70
104,1.12
105,0.07
106,0.24
107,3.32
108,-0.43
109,-0.07
110,0.97
111,0.94
112,0.09
113,2.19
114,-0.61
115,-1.54
116,2.47
117,-0.27
118,1.46
119,-0.05
120,-1.35
121,0.12
122,-0.30
123,1.09
124,2.44
125,0.25
126,1.42
127,1.85
128,3.33
129,-0.61
130,-0.15
131,0.93
132,-1.09
133,0.43
134,2.03
135,1.93
136,1.12
137,-0.11
138,0.55
139,-1.19
140,1.00
141,1.10
142,0.34
143,-1.03
144,-0.12
145,-0.31
146,-0.97
147,2.25
148,-0.64
149,1.51
150,1.64
151,0.50
152,1.31
153,2.19
154,-0.36
155,0.89
156,0.12
157,-0.21
158,-0.59
159,0.79
160,1.35
161,0.17
162,1.81
163,1.27
164,-0.91
165,0.73
166,0.41
167,1.05
168,1.39
169,2.17
170,2.00
171,-0.36
172,-1.37
173,0.87
174,-0.07
175,0.77
176,0.65
177,-0.25
178,-1.28
179,2.88
180,0.94
181,-0.21
182,2.55
183,1.44
184,1.09
185,-1.05
186,-1.28
187,-0.40
188,0.76
189,1.91
190,0.64
191,1.30
192,-0.57
193,0.25
194,2.37
195,1.47
196,2.29
197,-0.65
198,0.62
199,-0.03
200,0.01
201,1.02
202,0.51
203,0.21
204,-1.21
205,0.54
206,0.31
207,0.26
208,1.47
209,1.58
210,1.79
211,1.73
212,2.83
213,0.23
214,1.89
215,1.97
216,-0.20
217,-1.15
218,1.14
219,-0.90
220,0.74
221,1.60
222,0.17
223,1.14
224,2.52
225,0.19
226,0.13
227,0.29
228,0.33
229,2.70
230,-1.58
231,-0.97
232,1.49
233,1.21
234,2.16
235,0.02
236,-0.51
237,0.63
238,0.24
239,0.48
240,0.70
241,-0.66
242,-0.48
243,1.55
244,0.45
245,2.50
246,-0.15
247,3.00
248,-0.16
249,0.98
250,-0.23
251,0.27
252,0.82
253,0.61
254,-0.41
255,2.05
256,-0.75
257,-0.01
258,0.34
259,0.72
260,0.26
261,2.63
262,-0.58
263,-1.16
264,0.20
265,-1.87
266,0.28
267,0.48
268,1.88
269,0.20
270,0.85
271,-0.56
272,1.04
273,0.47
274,2.11
275,0.86
276,0.63
277,1.15
278,0.36
279,-0.92
280,-0.76
281,-0.69
282,1.25
283,0.48
284,-0.50
285,-0.43
286,-0.22
287,0.72
288,1.31
289,-0.42
290,1.23
291,0.76
292,-0.68
293,0.83
294,1.99
295,1.00
296,-1.34
297,0.16
298,1.09
299,1.03
300,-0.18
